ID=g1	460	499	1028	1178	2461	2701	1624	3313	1655	1349	560
ID=g2	15	15	24	43	30	14	19	32	37	36	14
ID=g3	581	527	792	964	829	767	991	952	1509	2713	208
ID=g4	528	609	2548	2693	857	840	897	957	2358	1462	339
ID=g5	43	47	36	28	273	43	94	100	73	163	24
ID=g6	17	19	13	15	14	1	11	9	4	16	2
ID=g7	22	22	16	33	90	32	14	15	1377	22	9
ID=g8	22	24	23	14	7	4	19	8	23	46	4
ID=g9	22	31	15	15	7	19	20	14	17	36	7
ID=g10	40	46	15	40	77	18	99	48	53	50	79
ID=g11	134	98	53	145	228	62	384	148	88	138	312
ID=g12	258	242	678	1358	378	263	414	424	246	748	160
ID=g13	101	59	57	464	578	315	494	1334	124	210	122
ID=g14	500	373	711	985	668	514	910	1119	947	1094	244
ID=g15	255	161	132	351	165	55	229	160	103	662	30
ID=g16	553	366	135	330	145	74	227	191	517	809	28
ID=g17	627	233	20	101	1495	1165	8640	3026	940	2316	3996
ID=g18	148	60	11	42	9	7	80	17	8	28	22
ID=g19	163	70	27	52	102	30	295	73	8	79	49
ID=g20	145	58	16	47	94	58	466	253	2	31	377
ID=g21	1111	988	94	341	2675	201	1648	450	2599	1603	767
ID=g22	1919	1324	173	245	1089	311	2386	823	4874	3623	4286
ID=g23	205	195	148	259	134	164	284	583	310	257	104
ID=g24	57	57	16	38	21	13	7	9	13	20	3
ID=g25	468	425	3460	13206	1467	1223	1220	2048	362	1289	462
ID=g26	880	521	845	1124	168	92	180	191	1860	319	65
ID=g27	403	131	91	268	130	124	222	216	603	516	65
ID=g28	98	52	74	180	276	227	320	478	53	70	178
ID=g29	192	137	58	269	351	135	359	259	287	679	104
ID=g30	91	55	17	55	70	24	100	58	58	120	28
ID=g31	147	84	135	246	96	88	152	144	155	359	69
ID=g32	195	188	209	256	84	149	134	108	389	155	46
ID=g33	50	16	18	409	53	49	139	81	52	168	26
ID=g34	221	116	431	1114	453	240	665	358	114	1247	108
ID=g35	85	77	214	301	179	185	176	161	104	220	38
ID=g36	372	311	799	1557	1136	1194	1612	1589	372	954	820
ID=g37	154	111	224	406	311	235	402	495	233	439	165
ID=g38	72	26	575	922	309	213	275	245	28	139	122
ID=g39	48	11	15	24	13	16	0	14	15	14	4
ID=g40	49	11	15	18	13	16	0	14	15	15	4
ID=g41	52	28	29	62	23	30	31	36	48	36	10
ID=g42	66	26	21	56	60	33	26	37	31	25	12
ID=g43	33	3	1	17	13	13	4	9	9	6	4
ID=g44	35	3	0	18	12	12	5	10	9	7	4
ID=g45	41	7	15	52	31	17	10	25	17	11	10
ID=g46	39	1	8	44	21	6	12	13	8	3	5
ID=g47	405	265	475	1160	528	382	690	555	507	1719	118
ID=g48	11	5	9	35	129	72	65	319	3	12	25
ID=g49	182	161	152	400	814	515	673	647	336	630	465
ID=g50	252	242	148	398	298	254	422	328	523	877	166
ID=g51	194	173	417	1483	385	205	760	425	313	1460	141
ID=g52	30	28	8	31	99	41	41	247	19	13	27
ID=g53	19	22	0	18	11	8	7	21	8	3	8
ID=g54	25	25	14	35	27	4	17	39	12	13	10
ID=g55	22	23	12	34	18	2	10	25	7	3	10
ID=g56	22	23	12	34	18	2	10	26	7	3	10
ID=g57	35	27	13	37	42	10	25	92	14	18	16
ID=g58	32	24	13	31	20	1	12	21	3	3	12
ID=g59	32	25	3	31	25	3	14	23	3	5	12
ID=g60	32	24	2	31	24	4	14	24	3	4	12
ID=g61	32	24	5	37	71	40	54	46	10	36	26
ID=g62	34	26	18	85	452	269	354	317	55	268	105
ID=g63	50	34	8	115	280	91	97	372	15	28	37
ID=g64	41	31	4	12	21	8	21	28	3	3	12
ID=g65	43	33	4	8	25	3	20	27	3	2	13
ID=g66	86	70	150	279	151	131	69	147	24	24	40
ID=g67	43	35	7	10	3	4	15	30	3	3	13
ID=g68	180	171	498	848	2431	2070	1330	1819	216	760	513
ID=g69	234	212	208	238	342	213	757	1684	266	880	231
ID=g70	23	59	206	772	207	211	187	213	123	435	130
